Date,JPM_Close,Dividend,VIX_Close,Treasury_3M,Treasury_10Y,log_return,rolling_vol_21,annual_dividend,div_yield,yield_slope,rate_momentum,vix_jpm_corr,sentiment_score
2018-02-01,93.48381805419922,0.0,13.470000267028809,1.46,2.78,0.010320507000323493,0.006921892132436373,0.56,0.005990341554891652,1.3199999999999998,0.05999999999999961,0.8099478899702252,0.16532724023140752
2018-02-02,91.412109375,0.0,17.309999465942383,1.46,2.84,-0.022410395001587126,0.00900568764387697,0.56,0.006126103027583703,1.38,0.06000000000000005,0.6679872664622167,0.3122847343854531
2018-02-06,89.67630767822266,0.0,29.979999542236328,1.5,2.79,-0.019171351647070765,0.009820084716128375,0.56,0.00624468172808137,1.29,-0.04999999999999982,0.19234789185232448,0.7971680288065859
2018-02-07,90.28424072265624,0.0,27.729999542236328,1.53,2.84,0.006756318119752544,0.009720243215889835,0.56,0.00620263287942202,1.3099999999999998,0.04999999999999982,0.07276454887296793,0.7110601041121869
2018-02-08,86.29277801513672,0.0,33.459999084472656,1.53,2.85,-0.04521701390590363,0.014160506809729599,0.56,0.006489534963189733,1.32,0.010000000000000231,-0.33014392066376286,0.9303482681485542
2018-02-09,88.02054595947266,0.0,29.059999465942383,1.53,2.83,0.019824354096296924,0.01479106833275845,0.56,0.006362150948914145,1.3,-0.020000000000000018,-0.5105844405731469,0.7619594522339812
2018-02-12,89.38037109375,0.0,25.61000061035156,1.61,2.86,0.015330831323389955,0.014976785970082023,0.56,0.006265357741831512,1.2499999999999998,0.029999999999999805,-0.620565922321667,0.6299273448326581
2018-02-13,89.93229675292969,0.0,24.969999313354492,1.57,2.83,0.006156033578912757,0.014990689264320548,0.56,0.00622690646429818,1.26,-0.029999999999999805,-0.7147869831195647,0.6054343743943731
2018-02-14,92.01199340820312,0.0,19.260000228881836,1.56,2.91,0.02286180274391921,0.015391751378234415,0.56,0.006086163110450279,1.35,0.08000000000000007,-0.7379079878217731,0.3869116316517692
2018-02-15,92.3959732055664,0.0,19.1299991607666,1.56,2.9,0.004164465986515831,0.015369991722283746,0.56,0.006060870193488722,1.3399999999999999,-0.010000000000000231,-0.7657736557229723,0.3819364662368989
2018-02-16,91.73206329345705,0.0,19.459999084472656,1.59,2.87,-0.007211425287868768,0.015433599225253669,0.56,0.006104735682315597,1.28,-0.029999999999999805,-0.7923779834600209,0.3945656256056271
2018-02-20,91.75605010986328,0.0,20.600000381469727,1.64,2.88,0.0002614536287715921,0.015429001471180983,0.56,0.006103139785654342,1.24,0.009999999999999787,-0.8132522710670008,0.43819369042044526
2018-02-21,92.14000701904295,0.0,20.020000457763672,1.62,2.94,0.004175809673223344,0.015433663076891518,0.56,0.006077707372914162,1.3199999999999998,0.06000000000000005,-0.8554191959914964,0.4159969838634505
2018-02-22,91.97201538085938,0.0,18.719999313354492,1.61,2.92,-0.0018248855518980965,0.015245143859901755,0.56,0.006088808619459084,1.3099999999999998,-0.020000000000000018,-0.8782127445873931,0.3662456946877091
2018-02-23,93.83578491210938,0.0,16.489999771118164,1.61,2.88,0.02006193538609645,0.015838313585524084,0.56,0.00596787249687867,1.2699999999999998,-0.040000000000000036,-0.8983821066562169,0.2809031912870736
2018-02-26,95.00362396240234,0.0,15.800000190734863,1.65,2.86,0.01236875232563147,0.015826433160851316,0.56,0.0058945119843177764,1.21,-0.020000000000000018,-0.8801602322493048,0.25449677710626817
2018-02-27,93.87578582763672,0.0,18.59000015258789,1.64,2.9,-0.011942556796232833,0.016086828199652514,0.56,0.005965329558233513,1.26,0.040000000000000036,-0.8763133143912014,0.3612706022674311
2018-02-28,92.38796997070312,0.0,19.850000381469727,1.63,2.87,-0.01597570600012974,0.016446367026230597,0.56,0.006061395224698411,1.2400000000000002,-0.029999999999999805,-0.8840392353165465,0.4094910488556456
2018-03-01,90.73218536376952,0.0,22.469999313354492,1.6,2.81,-0.018084625706018997,0.016897206416490156,0.56,0.0061720104916993986,1.21,-0.06000000000000005,-0.8857705681295542,0.5097589025117075
2018-03-02,90.64419555664062,0.0,19.59000015258789,1.62,2.86,-0.0009702455588209028,0.016790552986896582,0.56,0.00617800176350039,1.2399999999999998,0.04999999999999982,-0.888888082640944,0.39954079102049733
2018-03-05,92.03600311279295,0.0,18.729999542236328,1.67,2.88,0.015237934894339836,0.0171135332667733,0.56,0.006084575395062548,1.21,0.020000000000000018,-0.9037264261327655,0.36662840533459085
2018-03-06,92.11602020263672,0.0,18.36000061035156,1.65,2.88,0.0008690330243351397,0.016945042041964804,0.56,0.0060792899950314035,1.23,0.0,-0.9019098648521012,0.35246847637292783
2018-03-07,91.77205657958984,0.0,17.760000228881836,1.65,2.89,-0.003741014971919458,0.016223545078653263,0.56,0.006102075303437674,1.2400000000000002,0.010000000000000231,-0.9115401777255964,0.3295063485221698
2018-03-08,91.78003692626952,0.0,16.540000915527344,1.64,2.86,8.695457003262975e-05,0.01560715564495424,0.56,0.0061015447231718796,1.22,-0.03000000000000025,-0.9107557487337257,0.2828167445214822
2018-03-09,94.41970825195312,0.0,14.640000343322754,1.64,2.9,0.028355013915456282,0.016673500074767686,0.56,0.005930965159367733,1.26,0.040000000000000036,-0.9333883222771576,0.2101033639922787
2018-03-12,94.11575317382812,0.0,15.779999732971191,1.68,2.87,-0.003224383775542518,0.01277271252716855,0.56,0.005950119731451353,1.1900000000000002,-0.029999999999999805,-0.9005751585290768,0.2537313558125047
2018-03-13,92.98789978027344,0.0,16.350000381469727,1.7,2.84,-0.012056066642422484,0.012708799991135455,0.56,0.006022288935692245,1.14,-0.03000000000000025,-0.8565978879714259,0.2755453882199138
2018-03-14,91.94802856445312,0.0,17.229999542236328,1.73,2.81,-0.011245864277798834,0.012702418269202502,0.56,0.006090397029094049,1.08,-0.029999999999999805,-0.7958229682405348,0.3092231222049915
2018-03-15,92.18001556396484,0.0,16.59000015258789,1.74,2.82,0.0025198456146352044,0.012658317448353704,0.56,0.006075069488477241,1.0799999999999998,0.009999999999999787,-0.7181131637187136,0.2847302247612986
2018-03-16,92.3399887084961,0.0,15.800000190734863,1.75,2.85,0.0017339386614749076,0.011647791842337165,0.56,0.006064544817823604,1.1,0.03000000000000025,-0.6831593554458204,0.25449677710626817
2018-03-19,91.6120834350586,0.0,19.020000457763672,1.77,2.85,-0.007914116587075262,0.011738521300746672,0.56,0.006112730755621003,1.08,0.0,-0.6919465230473765,0.3777267951103843
2018-03-20,91.7000732421875,0.0,18.200000762939453,1.78,2.89,0.0009599997674071488,0.011636635385734527,0.56,0.00610686535136121,1.11,0.040000000000000036,-0.6812955279715901,0.3463452520120048
2018-03-21,91.78003692626952,0.0,17.860000610351562,1.71,2.89,0.0008716333238656672,0.011638126112988641,0.56,0.0061015447231718796,1.1800000000000002,0.0,-0.6735967512099263,0.33333338199639484
2018-03-22,87.94855499267578,0.0,23.34000015258789,1.69,2.83,-0.042642770125540706,0.014843641008814135,0.56,0.006367358736554978,1.1400000000000001,-0.06000000000000005,-0.7973287119092443,0.5430539988444957
